,customer_id,age,gender,country,annual_income,spending_score,num_purchases,avg_purchase_value,membership_years,website_visits_per_month,cart_abandon_rate,churned,feedback_text,last_purchase_date
9254,9255,36,Male,Australia,55799,74,24,40.56,7,14,0.41,0,The website is easy to use.,2025-05-06
1561,1562,34,Male,India,28286,90,39,41.17,13,11,0.9,0,Love the products and fast shipping.,2025-08-19
1670,1671,18,Male,UK,120458,97,17,68.22,0,24,0.65,0,Love the products and fast shipping.,2025-10-05
6087,6088,55,Male,Australia,178105,33,17,70.88,3,20,0.31,0,Excellent customer service.,2025-06-02
6669,6670,57,Female,India,45105,43,8,44.24,0,14,0.65,0,The website is easy to use.,2025-08-18
5933,5934,54,Male,USA,135673,69,33,63.1,10,11,0.03,0,Very satisfied with my purchase.,2025-05-12
8829,8830,57,Male,USA,174330,49,28,65.08,8,14,0.18,0,The website is easy to use.,2025-07-25
7945,7946,32,Male,South Africa,50189,55,25,46.12,8,16,0.36,0,Excellent customer service.,2025-07-15
3508,3509,54,Male,South Africa,57804,68,10,42.57,0,26,0.23,0,The website is easy to use.,2025-06-06
2002,2003,69,Female,USA,51141,71,18,35.56,3,22,0.13,0,"Great experience, will shop again!",2025-08-23
5866,5867,60,Male,UK,150494,42,28,61.48,8,21,0.29,0,Love the products and fast shipping.,2025-06-20
168,169,63,Female,USA,125817,43,23,47.48,5,9,0.35,0,Good quality and value for money.,2025-10-04
2588,2589,28,Male,Australia,148395,39,28,59.76,8,3,0.83,0,Love the products and fast shipping.,2025-08-10
5905,5906,26,Female,Australia,61656,30,6,48.27,0,25,0.03,0,The website is easy to use.,2025-06-22
9529,9530,43,Female,USA,105942,29,24,45.42,7,30,0.89,0,"Great experience, will shop again!",2025-05-09
6384,6385,53,Female,UK,115861,75,33,59.89,9,29,0.1,0,The website is easy to use.,2025-06-21
7824,7825,64,Male,Canada,157292,91,18,62.6,1,23,0.93,0,Very satisfied with my purchase.,2025-09-18
9779,9780,42,Male,UK,64916,39,25,38.91,9,6,0.11,0,Excellent customer service.,2025-10-27
4629,4630,36,Female,USA,95641,15,24,46.97,8,9,0.45,0,Good quality and value for money.,2025-05-02
8560,8561,47,Male,India,48588,14,25,28.1,10,28,0.2,0,Very satisfied with my purchase.,2025-05-17
9291,9292,51,Female,France,40984,8,8,33.87,3,22,0.33,0,Love the products and fast shipping.,2025-05-06
6874,6875,32,Male,India,77777,75,27,53.64,7,21,0.19,0,"Great experience, will shop again!",2025-07-31
6521,6522,39,Male,Germany,111442,84,28,68.75,6,30,0.11,0,The website is easy to use.,2025-08-28
8979,8980,56,Male,UK,103473,11,27,38.74,9,1,0.28,0,Love the products and fast shipping.,2025-10-05
6647,6648,54,Female,Canada,63664,23,15,42.45,4,27,0.66,0,"Great experience, will shop again!",2025-07-26
9825,9826,56,Male,France,86437,73,25,53.49,7,24,0.17,0,Excellent customer service.,2025-06-13
210,211,46,Male,South Africa,45210,4,17,34.93,6,20,0.45,0,"Great experience, will shop again!",2025-10-18
5278,5279,51,Female,Germany,164719,96,49,77.07,15,15,0.48,0,Love the products and fast shipping.,2025-10-07
1919,1920,47,Female,UK,96438,27,7,43.83,0,4,0.03,0,"Great experience, will shop again!",2025-08-14
718,719,64,Male,UK,48601,43,31,40.81,13,23,0.17,0,Very satisfied with my purchase.,2025-09-26
4868,4869,50,Female,France,82046,85,24,45.94,5,14,0.12,0,Very satisfied with my purchase.,2025-10-10
7834,7835,58,Female,France,93393,58,26,55.61,7,17,0.66,0,Excellent customer service.,2025-08-01
1298,1299,24,Male,India,53441,80,13,47.16,1,16,0.25,0,Very satisfied with my purchase.,2025-07-08
9193,9194,27,Male,USA,88765,56,28,45.29,8,16,0.65,0,Very satisfied with my purchase.,2025-07-17
4617,4618,60,Male,Brazil,52668,74,9,48.39,0,17,0.78,1,I will not be shopping here again.,2025-04-21
3128,3129,18,Female,Brazil,21351,9,4,16.86,0,21,0.55,0,"Great experience, will shop again!",2025-07-16
9795,9796,68,Female,Canada,145651,18,27,54.95,9,8,0.06,0,"Great experience, will shop again!",2025-06-16
3979,3980,65,Male,Germany,156337,89,25,66.09,4,2,0.54,1,"Poor quality, item broke after a week.",2023-12-29
9924,9925,66,Female,France,52453,9,10,30.72,2,17,0.54,0,"Great experience, will shop again!",2025-06-04
8317,8318,36,Male,Brazil,23675,70,14,40.17,3,28,0.62,0,Excellent customer service.,2025-06-05
4393,4394,62,Female,Brazil,71296,58,10,43.27,0,29,0.86,0,Excellent customer service.,2025-06-25
1287,1288,53,Female,India,76491,100,38,53.4,11,22,0.96,0,The website is easy to use.,2025-06-09
4355,4356,43,Male,Australia,44902,34,13,33.63,4,6,0.4,0,The website is easy to use.,2025-10-10
7013,7014,48,Male,India,63712,28,28,37.46,10,12,0.31,0,The website is easy to use.,2025-09-04
3885,3886,22,Female,Canada,78798,42,15,40.24,4,23,0.19,0,The website is easy to use.,2025-05-22
5749,5750,60,Male,Brazil,39774,86,23,47.39,7,30,0.17,0,Very satisfied with my purchase.,2025-08-30
9169,9170,47,Female,Canada,55056,43,15,41.83,3,28,0.59,0,The website is easy to use.,2025-05-07
2407,2408,55,Female,Brazil,76274,53,34,46.69,12,17,0.5,0,Good quality and value for money.,2025-07-17
2013,2014,41,Male,India,36169,74,28,43.71,9,16,0.59,0,Good quality and value for money.,2025-06-28
5153,5154,55,Male,USA,79226,57,12,55.15,1,12,0.83,0,Very satisfied with my purchase.,2025-06-06
8551,8552,24,Male,UK,51667,72,13,49.47,1,13,0.77,0,"Great experience, will shop again!",2025-08-24
4376,4377,32,Male,Australia,99030,92,24,61.02,5,1,0.18,0,The website is easy to use.,2025-08-31
8822,8823,46,Male,France,38611,21,23,40.07,10,14,0.85,0,Excellent customer service.,2025-06-28
4273,4274,52,Male,USA,105956,41,15,49.81,3,27,0.34,0,Love the products and fast shipping.,2025-09-27
5825,5826,57,Male,USA,91154,51,37,51.3,14,18,0.47,0,Very satisfied with my purchase.,2025-07-09
6699,6700,52,Male,USA,65535,74,21,45.98,4,16,0.37,0,Very satisfied with my purchase.,2025-10-07
7243,7244,35,Male,India,71407,10,19,30.99,7,1,0.74,1,Customer service was unhelpful.,2024-01-07
449,450,50,Female,Brazil,70696,81,15,43.84,2,26,0.69,0,"Great experience, will shop again!",2025-06-19
2227,2228,49,Female,Germany,99634,7,9,47.65,1,23,0.36,1,I will not be shopping here again.,2024-05-26
5756,5757,26,Male,Japan,127822,9,13,53.77,2,14,0.49,0,Love the products and fast shipping.,2025-10-19
810,811,41,Male,UK,71730,79,19,43.44,4,8,0.73,0,Excellent customer service.,2025-09-30
4180,4181,64,Male,Australia,60404,61,34,50.48,12,11,0.54,0,"Great experience, will shop again!",2025-05-12
9000,9001,53,Male,USA,83156,49,15,50.11,3,12,0.6,0,Love the products and fast shipping.,2025-09-02
5438,5439,22,Female,Australia,128300,73,20,69.64,4,6,0.98,0,"Great experience, will shop again!",2025-06-03
7533,7534,26,Male,Australia,149814,73,20,72.43,2,4,0.43,0,The website is easy to use.,2025-08-18
6369,6370,55,Female,Japan,137671,60,25,50.12,5,16,0.66,0,Good quality and value for money.,2025-06-30
8416,8417,22,Male,India,46803,90,20,52.61,3,24,0.11,0,Excellent customer service.,2025-08-02
1477,1478,18,Male,Australia,60821,43,6,42.93,0,29,0.49,0,Love the products and fast shipping.,2025-07-25
1790,1791,42,Male,Japan,55344,79,17,45.88,3,12,0.08,0,The website is easy to use.,2025-10-27
2008,2009,41,Male,USA,45269,61,40,31.97,15,3,0.56,0,"Great experience, will shop again!",2025-09-27
682,683,32,Male,Canada,142856,45,24,49.07,7,22,0.14,0,"Great experience, will shop again!",2025-09-25
2816,2817,47,Female,Germany,135052,86,30,66.12,7,1,0.58,0,Love the products and fast shipping.,2025-09-06
9431,9432,37,Female,UK,146617,20,11,49.27,1,15,0.13,0,The website is easy to use.,2025-05-06
3774,3775,23,Female,Australia,116513,85,26,69.39,5,3,0.54,0,The website is easy to use.,2025-09-16
6495,6496,27,Female,India,34535,35,10,28.02,2,2,0.11,0,Very satisfied with my purchase.,2025-06-11
8878,8879,66,Female,India,29972,80,27,32.28,9,24,0.67,0,Very satisfied with my purchase.,2025-07-25
7361,7362,39,Male,USA,144692,29,39,58.4,13,25,0.31,0,"Great experience, will shop again!",2025-06-04
8366,8367,29,Female,USA,145580,66,18,55.02,1,15,0.67,0,The website is easy to use.,2025-10-10
7474,7475,65,Male,USA,79311,1,15,28.67,5,28,0.28,0,Good quality and value for money.,2025-06-18
46,47,45,Male,France,68891,100,12,44.54,0,1,0.88,0,Good quality and value for money.,2025-08-08
30,31,64,Female,India,68630,53,29,51.14,9,28,0.53,0,Very satisfied with my purchase.,2025-07-17
8250,8251,30,Female,Canada,111694,93,31,61.56,8,25,0.77,0,Excellent customer service.,2025-06-21
6935,6936,55,Female,India,38512,75,25,48.89,7,14,0.54,0,Very satisfied with my purchase.,2025-08-29
1468,1469,61,Male,UK,48286,52,30,49.32,11,14,0.48,0,Good quality and value for money.,2025-09-12
1665,1666,59,Male,Germany,72495,29,15,39.3,5,30,0.18,0,Love the products and fast shipping.,2025-09-28
1416,1417,68,Female,India,41910,67,24,49.64,7,11,0.77,0,Excellent customer service.,2025-08-19
6480,6481,39,Male,USA,58206,27,31,31.71,12,3,0.69,0,Excellent customer service.,2025-06-21
4852,4853,60,Male,UK,61108,54,35,35.85,14,17,0.9,0,Very satisfied with my purchase.,2025-07-29
2470,2471,70,Male,USA,51229,71,37,40.78,14,10,0.47,0,"Great experience, will shop again!",2025-06-06
4373,4374,50,Male,India,41239,32,13,39.34,4,13,0.73,0,Love the products and fast shipping.,2025-09-27
8524,8525,70,Male,Brazil,41604,65,16,42.86,4,4,0.83,1,"Poor quality, item broke after a week.",2023-12-18
429,430,41,Male,Australia,76363,14,14,32.65,3,4,0.3,0,The website is easy to use.,2025-05-14
5244,5245,31,Male,India,33905,25,31,28.09,13,5,0.01,0,Excellent customer service.,2025-08-10
2119,2120,43,Female,Brazil,39812,59,8,37.93,0,20,0.55,0,Very satisfied with my purchase.,2025-07-09
385,386,42,Female,USA,100383,77,29,57.93,7,26,0.39,0,Good quality and value for money.,2025-06-21
1945,1946,38,Female,Brazil,41573,24,16,42.95,6,20,0.12,0,Excellent customer service.,2025-10-19
4224,4225,43,Female,India,52142,80,29,53.06,8,14,0.62,0,Excellent customer service.,2025-09-09
473,474,57,Female,USA,164446,92,24,65.03,3,19,0.12,0,"Great experience, will shop again!",2025-10-18
2129,2130,64,Female,Japan,126266,68,20,56.11,3,10,0.93,1,"Poor quality, item broke after a week.",2024-05-31
6556,6557,58,Male,USA,61634,97,33,44.32,9,12,0.63,0,Love the products and fast shipping.,2025-07-02
6998,6999,26,Male,UK,125030,59,15,52.29,1,16,0.43,0,The website is easy to use.,2025-10-05
1055,1056,35,Male,USA,120725,55,40,50.76,13,12,0.87,0,Excellent customer service.,2025-07-09
3274,3275,33,Female,India,34164,39,28,35.72,12,24,0.37,0,Very satisfied with my purchase.,2025-10-07
4961,4962,67,Male,Australia,77313,37,13,40.93,3,12,0.38,0,"Great experience, will shop again!",2025-06-12
5363,5364,66,Male,Germany,66565,37,11,48.26,1,24,0.35,0,Very satisfied with my purchase.,2025-08-13
5816,5817,59,Female,Brazil,80542,52,15,37.68,2,3,0.02,0,Good quality and value for money.,2025-06-22
811,812,52,Female,USA,116394,4,24,43.29,8,4,0.79,0,The website is easy to use.,2025-07-28
4573,4574,34,Male,UK,68153,97,42,45.79,14,11,0.02,0,Very satisfied with my purchase.,2025-08-12
6137,6138,45,Male,USA,86798,87,18,61.33,3,10,0.16,0,Good quality and value for money.,2025-06-09
2388,2389,46,Female,Canada,53299,99,16,49.01,2,13,0.64,0,Love the products and fast shipping.,2025-09-25
9648,9649,46,Female,Germany,140136,20,12,61.62,2,19,0.72,0,The website is easy to use.,2025-07-18
6225,6226,57,Male,Japan,60812,26,10,45.18,1,27,0.97,0,Excellent customer service.,2025-09-25
111,112,65,Female,India,69090,91,32,47.59,10,2,0.91,1,Difficult to navigate the website.,2023-12-19
8909,8910,60,Female,India,41478,14,24,22.26,10,24,0.66,1,Difficult to navigate the website.,2024-03-07
1745,1746,21,Male,India,32442,32,8,41.6,2,27,0.59,0,"Great experience, will shop again!",2025-09-17
7851,7852,27,Male,Japan,149429,78,19,72.43,2,6,0.17,0,Good quality and value for money.,2025-05-25
1452,1453,55,Female,Germany,147146,91,17,71.02,1,29,0.93,0,The website is easy to use.,2025-06-26
319,320,27,Female,Australia,89494,24,14,47.83,4,7,0.18,0,"Great experience, will shop again!",2025-06-07
8593,8594,38,Male,France,50484,62,25,36.32,8,21,0.02,0,"Great experience, will shop again!",2025-08-26
3333,3334,70,Female,Germany,171376,19,15,64.37,2,4,0.45,1,I will not be shopping here again.,2024-08-13
1922,1923,57,Male,India,81556,91,14,50.82,0,18,0.9,0,Very satisfied with my purchase.,2025-07-22
5865,5866,48,Female,Australia,146125,2,12,41.36,3,25,0.07,0,Very satisfied with my purchase.,2025-05-25
9528,9529,44,Female,UK,81458,19,14,49.31,4,18,0.89,0,The website is easy to use.,2025-08-13
3685,3686,30,Female,Canada,68476,59,33,43.15,11,1,0.94,0,Excellent customer service.,2025-08-04
4275,4276,25,Male,India,60053,76,25,52.37,6,5,0.38,0,The website is easy to use.,2025-07-02
4889,4890,69,Male,India,44448,49,21,43.42,7,10,0.01,0,Love the products and fast shipping.,2025-08-24
5225,5226,46,Female,Germany,112078,68,15,63.85,2,4,0.94,0,Very satisfied with my purchase.,2025-10-06
7472,7473,62,Male,Germany,173282,29,43,63.71,15,11,0.01,0,"Great experience, will shop again!",2025-08-25
3605,3606,35,Male,Germany,135682,30,28,47.44,9,15,0.54,0,Very satisfied with my purchase.,2025-08-30
1052,1053,48,Male,UK,91599,11,17,36.69,6,29,0.69,0,Love the products and fast shipping.,2025-05-27
4156,4157,46,Male,Canada,177006,18,37,51.55,12,8,0.55,0,Good quality and value for money.,2025-08-16
9676,9677,29,Male,UK,81684,25,14,51.25,4,20,0.48,1,I will not be shopping here again.,2025-01-03
99,100,68,Male,India,54516,27,26,44.83,11,17,0.09,0,The website is easy to use.,2025-09-24
7508,7509,50,Male,UK,62942,86,20,45.05,4,20,0.07,0,Good quality and value for money.,2025-05-19
1456,1457,25,Female,UK,80607,77,17,44.64,3,9,0.5,0,Love the products and fast shipping.,2025-09-24
7688,7689,19,Male,Canada,90447,84,12,57.56,0,14,0.58,0,The website is easy to use.,2025-10-18
4004,4005,34,Female,Canada,60572,10,13,27.15,4,6,0.62,0,Good quality and value for money.,2025-10-07
6866,6867,44,Female,South Africa,47599,13,31,37.4,14,23,0.41,0,"Great experience, will shop again!",2025-07-05
4509,4510,34,Male,France,46703,40,13,27.62,3,30,0.64,0,Love the products and fast shipping.,2025-08-30
3299,3300,45,Male,Germany,139784,63,25,59.85,6,20,0.65,0,Excellent customer service.,2025-05-25
3799,3800,37,Female,USA,133609,82,30,62.01,8,7,0.26,0,Love the products and fast shipping.,2025-08-15
4281,4282,23,Male,USA,146572,89,15,67.42,0,11,0.23,0,"Great experience, will shop again!",2025-08-26
9051,9052,59,Male,Germany,108274,42,19,41.91,4,28,0.25,0,Good quality and value for money.,2025-08-09
6462,6463,44,Male,UK,136672,21,38,42.57,14,11,0.71,1,Customer service was unhelpful.,2025-04-01
7912,7913,31,Male,USA,43826,91,11,42.52,0,5,0.57,0,Excellent customer service.,2025-07-16
1414,1415,54,Female,USA,129939,61,18,64.84,2,14,0.6,0,Good quality and value for money.,2025-08-03
540,541,55,Male,Brazil,59828,63,14,51.44,3,6,0.39,0,Excellent customer service.,2025-06-01
5815,5816,66,Male,UK,152881,56,32,61.54,9,23,0.11,0,Good quality and value for money.,2025-08-24
8199,8200,21,Male,Australia,103882,11,12,44.44,3,12,0.52,1,Customer service was unhelpful.,2024-11-29
3680,3681,47,Female,UK,139897,81,28,62.1,6,19,0.04,0,Excellent customer service.,2025-09-13
754,755,35,Male,USA,149123,5,40,53.36,15,26,0.53,0,The website is easy to use.,2025-06-25
4196,4197,62,Male,India,46735,33,33,35.18,14,7,0.07,0,Good quality and value for money.,2025-08-07
2650,2651,33,Male,Australia,125574,40,29,60.57,10,26,0.74,0,Very satisfied with my purchase.,2025-05-26
4522,4523,53,Male,Australia,49980,5,29,35.02,13,7,0.47,1,"Poor quality, item broke after a week.",2024-10-20
9519,9520,27,Female,France,74378,45,14,41.91,2,23,0.75,0,Very satisfied with my purchase.,2025-09-11
3118,3119,64,Female,USA,151761,34,25,47.28,6,12,0.71,0,The website is easy to use.,2025-06-26
3728,3729,65,Male,Canada,154333,8,24,51.55,7,22,0.27,0,Excellent customer service.,2025-06-15
3886,3887,29,Male,India,20980,81,27,39.75,8,20,1.0,0,The website is easy to use.,2025-09-13
7107,7108,22,Male,USA,145002,43,18,59.17,3,20,0.72,0,Very satisfied with my purchase.,2025-09-02
8068,8069,46,Male,Germany,174687,88,46,64.44,15,8,0.35,0,Love the products and fast shipping.,2025-05-27
7325,7326,56,Male,Brazil,91446,63,32,45.91,10,10,0.14,0,Good quality and value for money.,2025-05-26
